id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
toys_sh_000,toys,What is required for the Mario figure to shine with a warm glow?,The Mario figure needs to be charged or have two AAA batteries inserted to shine with a warm glow.,descriptive,single_specific,B073X515PK,,"PDP Pixel Pals Nintendo Super Mario World Mario Collectible Lighted Figure, 878-041-NA-SMWM This pix",single,,
toys_sh_001,toys,What age range is the Kids Doctor Kit Toy Medical Carrycase designed for?,The Kids Doctor Kit Toy Medical Carrycase is designed for children aged 3 to 5.,descriptive,single_specific,B07ZK817M4,,Kids Doctor Kit Toy Medical Carrycase with 32Pcs Pink Accessories Surgeon Costume Dentist Tools Set ,single,,
toys_sh_002,toys,Who received the FurReal friends Get Up & GoGo My Walkin’ Pup Pet as a gift?,The gift was given to the granddaughter of the person who provided the information.,relational,single_specific,B00ILDJXGK,,FurReal friends Get Up & GoGo My Walkin’ Pup Pet Gave it to my granddaughter for Christmas. As far a,single,,
toys_sh_003,toys,What issue did the reviewer encounter during the assembly of the KidKraft Majestic Mansion Dollhouse?,"The reviewer found that none of the holes lined up, which required them to assemble it as if no holes had been drilled, leading to several hours of frustration.",descriptive,single_specific,B0042F99PG,,"KidKraft Majestic Mansion Wooden Dollhouse with 34-Piece Accessories, Working Elevator and Garage, G",single,,
toys_sh_004,toys,How do the Matchbox Color Change Vehicles enhance playtime for toddlers?,"The vehicles enhance playtime by allowing toddlers to experience minor color changes, such as going from dirty to clean, and they become even more enjoyable when used with a color change station that involves running them through water.",descriptive,single_specific,B06WGLXZL4,,Matchbox Color Change Vehicles These are really fun! While the color change is minor with some of th,single,,
toys_sh_005,toys,What age group is the Transformers Toys Botbots Arcade Renegades designed for?,The toys are designed for kids ages 5 and up.,descriptive,single_specific,B07JXNXGZH,,Transformers Toys Botbots Arcade Renegades Surprise 16 Figures - Mystery 2-in-1 Figures - Kids Ages ,single,,
toys_sh_006,toys,"How many programming languages does Artie Max teach, and how is the difficulty level described?","Artie Max teaches five programming languages, and the difficulty level is described as having enough challenge to keep things interesting without being frustrating.",descriptive,single_specific,B0977QLC14,,"Educational Insights Artie Max The Coding, Drawing Robot, STEM Toy, Classroom Must Haves, Ages 8+ So",single,,
toys_sh_007,toys,What limitation did the reviewer mention regarding the inclusion of certain images in the learning resources?,"The reviewer noted that having a picture of an elephant was not suitable for beginner learners who are making words, suggesting it would be better to use images that align with simpler words.",descriptive,single_specific,B07P6MFM77,,"Learning Resources ABC Cupcake Party Toppers, Develops Language Skills, Early Alphabet Learning, Pre",single,,
toys_sh_008,toys,How did the durability of the toy affect the user's experience with their children?,"The toy was durable and continued to work well despite the user's children being a little rough with toys, leading to a positive experience with no problems.",descriptive,single_specific,B084PF5PL6,,"Fisher-Price Little People 123 Babies Playdate, musical take-along playset with Smart Stages for tod",single,,
toys_sh_009,toys,What occasion did the nephews use the tactical vest kit for?,The nephews used the tactical vest kit for a great time on Christmas Eve.,descriptive,single_specific,B07HC77BVT,,UWANTME Tactical Vest Kit 2 Pack for Nerf Guns N-Strike Elite Series for Boys I got these for my nep,single,,
